No,website,delay/2,loss,BW(Mbps/sec)x2,Env,onContentLoad,onLoad,HttpVersion
1,example.html,1,0,1600,1,122,123,1
2,example.html,1,0,1600,1,83,85,1
3,example.html,1,0,1600,1,129,154,2
4,example.html,1,0,1600,1,116,138,2
5,example.html,1,0,1600,1,129,150,3
6,example.html,1,0,1600,1,106,107,3
31,site2.html,1,0,1600,1,177,567,1
32,site2.html,1,0,1600,1,211,625,1
33,site2.html,1,0,1600,1,159,436,2
34,site2.html,1,0,1600,1,171,426,2
35,site2.html,1,0,1600,1,167,358,3
36,site2.html,1,0,1600,1,171,675,3
61,site3.html,1,0,1600,1,140,648,1
62,site3.html,1,0,1600,1,140,582,1
63,site3.html,1,0,1600,1,62,707,2
64,site3.html,1,0,1600,1,174,652,2
65,site3.html,1,0,1600,1,171,598,3
66,site3.html,1,0,1600,1,139,756,3
91,site4.html,1,0,1600,1,115,221,1
92,site4.html,1,0,1600,1,129,268,1
93,site4.html,1,0,1600,1,177,304,2
94,site4.html,1,0,1600,1,131,245,2
95,site4.html,1,0,1600,1,129,286,3
96,site4.html,1,0,1600,1,107,213,3
121,site5.html,1,0,1600,1,630,737,1
122,site5.html,1,0,1600,1,379,904,1
123,site5.html,1,0,1600,1,722,845,2
124,site5.html,1,0,1600,1,506,781,2
125,site5.html,1,0,1600,1,745,854,3
126,site5.html,1,0,1600,1,632,775,3
