No,website,delay/2,loss,BW(Mbps/sec)x2,Env,onContentLoad,onLoad,HttpVersion
1,example.html,25,0.04,200,2,164,186,1
2,example.html,25,0.04,200,2,82,83,1
3,example.html,25,0.04,200,2,110,129,2
4,example.html,25,0.04,200,2,129,130,2
5,example.html,25,0.04,200,2,82,127,3
6,example.html,25,0.04,200,2,126,152,3
31,site2.html,25,0.04,200,2,174,700,1
32,site2.html,25,0.04,200,2,201,528,1
33,site2.html,25,0.04,200,2,392,576,2
34,site2.html,25,0.04,200,2,258,488,2
35,site2.html,25,0.04,200,2,196,742,3
36,site2.html,25,0.04,200,2,426,644,3
,,,,,,,,
61,site3.html,25,0.04,200,2,117,503,1
62,site3.html,25,0.04,200,2,114,548,1
63,site3.html,25,0.04,200,2,151,634,2
64,site3.html,25,0.04,200,2,134,783,2
65,site3.html,25,0.04,200,2,117,652,3
66,site3.html,25,0.04,200,2,98,695,3
91,site4.html,25,0.04,200,2,156,865,1
92,site4.html,25,0.04,200,2,105,229,1
93,site4.html,25,0.04,200,2,118,274,2
94,site4.html,25,0.04,200,2,102,274,2
95,site4.html,25,0.04,200,2,111,224,3
96,site4.html,25,0.04,200,2,129,290,3
121,site5.html,25,0.04,200,2,92,239,1
122,site5.html,25,0.04,200,2,678,804,1
123,site5.html,25,0.04,200,2,709,831,2
124,site5.html,25,0.04,200,2,394,727,2
125,site5.html,25,0.04,200,2,825,941,3
125,site5.html,25,0.04,200,2,394,727,3
