No,website,delay/2,loss,BW(Mbps/sec)x2,Env,onContentLoad,onLoad,HttpVersion
1,example.html,50,0.01,100,3,85,85,1
2,example.html,50,0.01,100,3,139,161,1
3,example.html,50,0.01,100,3,80,80,2
4,example.html,50,0.01,100,3,168,191,2
5,example.html,50,0.01,100,3,171,173,3
6,example.html,50,0.01,100,3,122,124,3
7,site2.html,50,0.01,100,3,162,572,1
8,site2.html,50,0.01,100,3,265,560,1
9,site2.html,50,0.01,100,3,190,359,2
10,site2.html,50,0.01,100,3,170,517,2
11,site2.html,50,0.01,100,3,207,592,3
12,site2.html,50,0.01,100,3,175,434,3
13,site3.html,50,0.01,100,3,135,639,1
14,site3.html,50,0.01,100,3,169,685,1
15,site3.html,50,0.01,100,3,147,643,2
16,site3.html,50,0.01,100,3,144,761,2
17,site3.html,50,0.01,100,3,118,582,3
18,site3.html,50,0.01,100,3,147,596,3
19,site4.html,50,0.01,100,3,157,266,1
20,site4.html,50,0.01,100,3,160,251,1
21,site4.html,50,0.01,100,3,89,219,2
22,site4.html,50,0.01,100,3,135,257,2
23,site4.html,50,0.01,100,3,149,285,3
24,site4.html,50,0.01,100,3,148,295,3
25,site5.html,50,0.01,100,3,401,852,1
26,site5.html,50,0.01,100,3,725,823,1
27,site5.html,50,0.01,100,3,698,762,2
28,site5.html,50,0.01,100,3,599,757,2
29,site5.html,50,0.01,100,3,570,794,3
30,site5.html,50,0.01,100,3,750,829,3
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
